support,itemsets
0.06617084108060811,frozenset({'Beans and vegetables meal'})
0.04440555616318495,frozenset({'Legume (beans) soup'})
0.22640271245761784,frozenset({'Meat and vegetable soup'})
0.035546319588756425,frozenset({'Meat balls'})
0.13266980203434323,frozenset({'Meat based dishes'})
0.09395165700535929,frozenset({'Meat soup'})
0.04385868970797331,frozenset({'Meat stew'})
0.04790550147653943,frozenset({'Meat-based canapé'})
0.017062233402603086,frozenset({'Milk rice'})
0.03740566553647599,frozenset({'Mixed green salad'})
0.266870830143279,frozenset({'Mixed vegetable salad'})
0.2775894126654271,frozenset({'Mixed vegetables soup'})
0.03357760034999453,"frozenset({'Mixed vegetables, braised'})"
0.051842939954063215,"frozenset({'Mixed vegetables, fried'})"
0.048889861095920376,"frozenset({'Omelette, plain'})"
0.0713113857595975,"frozenset({'Pasta, cooked, with cheese/cream'})"
0.027452696051624193,frozenset({'Pizza and similar with cheese topping'})
0.09810784206496774,frozenset({'Potato based dishes'})
0.043749316416930986,frozenset({'Potato soup'})
0.015312260745925845,frozenset({'Potatoes and meat meal'})
0.061686536147872686,frozenset({'Potatoes and vegetables meal'})
0.027343322760581865,frozenset({'Prepared mixed egg/meat/fish/vegetable salad'})
0.06573334791643881,"frozenset({'Rice, meat, and vegetables meal'})"
0.015202887454883518,frozenset({'Sandwich with processed meat topping/filling'})
0.020343432133872907,frozenset({'Tomato soup'})
0.044296182872142625,frozenset({'Vegetable based dishes'})
0.016187247074264464,"frozenset({'Mixed vegetable salad', 'Beans and vegetables meal'})"
0.03128076123810566,"frozenset({'Meat and vegetable soup', 'Meat based dishes'})"
0.05249917970031718,"frozenset({'Meat and vegetable soup', 'Mixed vegetable salad'})"
0.0155310073280105,"frozenset({'Meat and vegetable soup', 'Pasta, cooked, with cheese/cream'})"
0.02340588428305808,"frozenset({'Meat and vegetable soup', 'Potato based dishes'})"
0.01728097998468774,"frozenset({'Meat and vegetable soup', 'Rice, meat, and vegetables meal'})"
0.03182762769331729,"frozenset({'Meat based dishes', 'Mixed vegetable salad'})"
0.030843268073936343,"frozenset({'Meat based dishes', 'Mixed vegetables soup'})"
0.018046593021984032,"frozenset({'Meat based dishes', 'Potato based dishes'})"
0.022968391118888768,"frozenset({'Mixed vegetable salad', 'Meat soup'})"
0.06606146778956579,"frozenset({'Mixed vegetable salad', 'Mixed vegetables soup'})"
0.015312260745925845,"frozenset({'Omelette, plain', 'Mixed vegetable salad'})"
0.030733894782894018,"frozenset({'Potato based dishes', 'Mixed vegetable salad'})"
0.01935907251449196,"frozenset({'Mixed vegetable salad', 'Potatoes and vegetables meal'})"
0.019905938969703597,"frozenset({'Mixed vegetable salad', 'Rice, meat, and vegetables meal'})"
0.016515366947391447,"frozenset({'Mixed vegetables soup', 'Mixed vegetables, fried'})"
0.015421634036968172,"frozenset({'Omelette, plain', 'Mixed vegetables soup'})"
0.02067155200699989,"frozenset({'Pasta, cooked, with cheese/cream', 'Mixed vegetables soup'})"
0.02931204199934376,"frozenset({'Potato based dishes', 'Mixed vegetables soup'})"
0.016296620365306793,"frozenset({'Mixed vegetables soup', 'Potatoes and vegetables meal'})"
0.018155966313026357,"frozenset({'Mixed vegetables soup', 'Rice, meat, and vegetables meal'})"
0.016405993656349118,"frozenset({'Vegetable based dishes', 'Mixed vegetables soup'})"
